Ayah,Timing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17056,0-2638,0-2638,0-2638,2638-7366,2638-7366,2638-7366,7366-10213,7366-10213,10213-12381,10213-12381,12381-14392,14392-17318,14392-17318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17057,0-3657,0-3657,3657-5459,5459-7523,7523-8411,8411-11885,8411-11885,11885-13322,13322-14628,14628-16587,16587-18546,18546-20845,20845-22438,22438-24005,24005-25416,25416-26931,26931-27976,27976-29778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17058,0-3866,0-3866,0-3866,3866-4963,4963-6139,6139-8177,8177-9144,9144-12044,9144-12044,12044-12671,12671-15100,15100-18705,15100-18705,18705-19724,19724-21265,21265-23224,21265-23224,23224-25105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17059,0-2273,0-2273,2273-4676,2273-4676,4676-7001,7001-8177,8177-10528,8177-10528,10528-14081,10528-14081,14081-16223,16223-19567,16223-19567,19567-23303,19567-23303,23303-24322,24322-26647,24322-26647,26647-28972,28972-30121,30121-31897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17060,0-1019,1019-2142,2142-3161,3161-4702,4702-6139,6139-7550,7550-10868,10868-15492,10868-15492,10868-15492,10868-15492,15492-17373,17373-18470,18470-21918,18470-21918,21918-25915,21918-25915,25915-28971,25915-28971,28971-31427,31427-34196,31427-34196,34196-35319,35319-38924,35319-38924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17061,0-1019,1019-2142,2142-6269,2142-6269,6269-7915,7915-9508,9508-10605,10605-12146,12146-13191,13191-14837,14837-15856,15856-17293,17293-18442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17062,0-993,993-2952,2952-5068,2952-5068,5068-6688,6688-8229,8229-9274,9274-11155,11155-12017,12017-14995,12017-14995,14995-18025,18025-20611,20611-21760,21760-23197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17063,0-1698,0-1698,1698-4441,1698-4441,4441-5721,5721-7550,7550-9849,9849-12592,12592-16902,12592-16902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17064,0-1855,1855-4180,1855-4180,4180-7393,4180-7393,7393-8856,8856-12435,8856-12435,12435-14107,14107-16197,16197-18391,16197-18391,18391-20690,20690-22153,22153-26542,22153-26542,22153-26542,26542-27718,27718-29259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17065,0-1176,1176-2848,2848-4102,4102-4990,4990-6636,6636-9144,9144-10476,10476-12278,12278-13898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17066,0-2560,0-2560,2560-3944,3944-6243,3944-6243,6243-7810,6243-7810,7810-9639,9639-11859,9639-11859,11859-13923,13923-14942,14942-16065,16065-17685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17067,0-1254,1254-3997,1254-3997,3997-5643,3997-5643,5643-6740,6740-9509,6740-9509,9509-10632,10632-12800,12800-14576,14576-16431,16431-18286,16431-18286,18286-19984,19984-23511,19984-23511,23511-25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17068,0-2403,2403-4754,2403-4754,4754-5694,5694-8228,5694-8228,8228-8803,8803-10135,10135-11807,11807-15438,11807-15438,15438-17397,15438-17397,17397-18599,18599-20219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17069,0-601,601-2560,2560-5460,2560-5460,5460-6531,6531-8020,8020-9143,9143-10841,10841-12565,12565-16353,12565-16353,12565-16353,16353-19932,16353-19932,19932-21343,21343-22884,22884-24817,22884-24817,24817-25966,25966-27612,27612-28735,28735-30250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17070,0-1358,1358-3030,3030-4232,4232-5616,5616-8045,8045-9691,8045-9691,9691-11441,11441-16770,11441-16770,11441-16770,16770-19434,19434-20583,20583-23979,20583-23979,23979-25572,25572-27348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17071,0-1149,1149-2586,2586-3553,3553-7471,3553-7471,7471-8385,8385-9796,9796-11703,11703-13819,13819-16379,16379-18312,18312-20036,20036-22962,20036-22962,22962-24555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17072,0-2456,0-2456,2456-3266,3266-4964,4964-6166,6166-7263,7263-9640,7263-9640,9640-10816,10816-12488,12488-14081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17073,0-2664,0-2664,2664-5224,5224-7235,5224-7235,7235-8959,8959-10291,10291-12329,12329-13975,13975-15124,15124-18781,15124-18781,18781-20348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17074,0-1541,1541-4911,1541-4911,4911-6060,6060-7079,7079-8490,8490-9953,9953-13114,9953-13114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17075,0-3187,0-3187,3187-5904,3187-5904,5904-8830,5904-8830,8830-10450,10450-12226,10450-12226,12226-13193,13193-14943,14943-16589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17076,0-2612,0-2612,2612-5825,5825-7915,5825-7915,7915-10188,10188-11468,11468-15204,11468-15204,11468-15204,15204-17033,17033-18209,18209-19620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17077,0-1802,1802-3631,1802-3631,3631-5381,5381-6661,6661-8699,6661-8699,8699-10737,8699-10737,10737-13375,13375-15099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17078,0-2482,0-2482,2482-5303,2482-5303,5303-6139,6139-8464,6139-8464,8464-11442,8464-11442,11442-13088,13088-15857,13088-15857,15857-16902,16902-18757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17079,0-2142,0-2142,2142-3971,3971-5016,5016-7628,5016-7628,7628-8830,8830-11991,8830-11991,11991-13584,13584-17346,13584-17346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17080,0-1933,0-1933,1933-3631,3631-5120,5120-8777,5120-8777,8777-10161,10161-13505,10161-13505,10161-13505,13505-15882,13505-15882,15882-19618,15882-19618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17081,0-993,993-4180,993-4180,4180-6897,4180-6897,6897-9823,6897-9823,9823-10868,10868-12566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17082,0-1959,1959-4467,1959-4467,4467-5251,5251-6035,6035-12670,6035-12670,6035-12670,12670-17163,12670-17163,12670-17163,17163-18339,18339-19854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17083,0-1306,1306-3056,3056-6347,3056-6347,6347-7653,7653-8985,8985-10683,10683-11989,11989-14445,11989-14445,14445-15516,15516-17188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17084,0-627,627-3396,627-3396,3396-4545,4545-6818,6818-8777,8777-10083,10083-11128,11128-11964,11964-13192,13192-14759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17085,0-2534,2534-5355,2534-5355,5355-7210,5355-7210,7210-7915,7915-8882,8882-10188,10188-15256,10188-15256,10188-15256,10188-15256,15256-16405,16405-17789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17086,0-2821,0-2821,2821-5538,5538-7131,7131-8855,8855-10187,10187-11702,11702-13452,11702-13452,13452-14392,14392-15489,15489-17187,17187-18859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17087,0-1071,1071-4780,1071-4780,1071-4780,4780-6269,6269-7915,7915-8960,8960-10553,10553-11937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17088,0-4650,0-4650,0-4650,0-4650,4650-6792,6792-7941,7941-10031,7941-10031,10031-11389,11389-14262,11389-14262,14262-16639,14262-16639,16639-18572,18572-19669,19669-20740,20740-22438,22438-26121,22438-26121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17089,0-1463,1463-3292,3292-5486,5486-6244,6244-9065,6244-9065,9065-11207,9065-11207,11207-14237,11207-14237,14237-17084,14237-17084,17084-18233,18233-19670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17090,0-1620,1620-3919,1620-3919,3919-4886,4886-6166,6166-7472,7472-8491,8491-10529,8491-10529,10529-12906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17091,0-575,575-1933,1933-2926,2926-14550,2926-14550,2926-14550,2926-14550,2926-14550,2926-14550,14550-16483,16483-18338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17092,0-627,627-3997,627-3997,3997-4937,4937-6452,6452-8124,8124-9352,9352-9901,9901-11259,11259-13009,13009-16170,16170-17633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17093,0-575,575-2064,2064-3031,3031-7367,3031-7367,3031-7367,7367-7942,7942-9039,9039-11416,9039-11416,11416-14028,11416-14028,14028-16118,16118-17398,17398-18991,18991-20689,20689-23980,20689-23980,23980-24555,24555-26253,26253-27559,27559-28238,28238-29753,29753-30902,30902-33723,30902-33723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17094,0-3500,0-3500,0-3500,3500-6086,3500-6086,6086-6687,6687-10762,6687-10762,10762-11911,11911-14236,11911-14236,14236-16796,14236-16796,16796-19565,16796-19565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17095,0-2247,0-2247,0-2247,2247-3919,2247-3919,3919-8647,3919-8647,8647-11808,11808-13976,13976-18469,13976-18469,13976-18469,18469-21290,18469-21290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17096,0-601,601-1541,1541-3317,3317-6530,3317-6530,6530-8385,8385-10449,10449-11468,11468-13688,13688-17188,13688-17188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17097,0-3527,0-3527,0-3527,3527-5878,3527-5878,5878-8438,5878-8438,8438-10972,8438-10972,10972-12095,12095-14603,14603-17085,14603-17085,17085-19253,19253-22205,19253-22205,22205-23407,23407-25236,25236-31035,25236-31035,25236-31035,31035-32942,32942-35084,35084-36521,36521-37540,37540-39447,39447-41014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17098,0-1515,1515-7236,1515-7236,7236-8490,8490-11050,11050-12774,12774-14002,14002-15752,15752-19670,15752-19670,19670-21708,21708-24216,24216-27507,24216-27507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17099,0-1959,0-1959,1959-5799,1959-5799,1959-5799,5799-9012,5799-9012,9012-10788,10788-12225,12225-13427,13427-15804,13427-15804,15804-17319,17319-18703,18703-19774,19774-22595,19774-22595,19774-22595,22595-23666,23666-26879,23666-26879,26879-28028,28028-29465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17100,0-1097,0-1097,1097-2795,2795-4702,4702-7314,7314-8751,8751-10057,10057-12930,10057-12930,12930-17371,12930-17371,17371-21211,17371-21211,21211-22648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17101,0-1332,1332-3056,3056-4388,4388-5433,5433-10553,5433-10553,10553-11807,11807-12800,12800-15517,15517-16092,16092-18574,18574-20011,20011-21108,21108-22832,22832-24452,24452-27064,27064-29023,29023-30825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17102,0-1071,1071-2220,2220-3735,3735-6321,3735-6321,6321-8750,8750-9899,9899-13164,9899-13164,13164-14940,14940-17396,17396-19486,19486-22020,22020-24371,24371-26173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17103,0-1672,1672-7445,1672-7445,1672-7445,1672-7445,7445-10031,10031-12904,10031-12904,12904-14680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17104,0-1463,1463-4049,1463-4049,4049-5407,5407-10370,5407-10370,5407-10370,10370-11624,11624-13505,13505-16326,13505-16326,16326-17684,17684-18755,18755-20453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17105,0-1881,1881-4624,4624-6688,6688-7681,7681-10868,7681-10868,10868-12017,12017-15935,12017-15935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17106,0-4415,0-4415,4415-6505,6505-9065,6505-9065,9065-10188,10188-14315,10188-14315,14315-16692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17107,0-627,627-2090,2090-3161,3161-3814,3814-6034,3814-6034,6034-9038,6034-9038,9038-11180,9038-11180,11180-13897,11180-13897,13897-14890,14890-16248,16248-17868,17868-19827,19827-22047,22047-23562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17108,0-2142,2142-3892,3892-5512,5512-7654,5512-7654,7654-8856,8856-10449,10449-12617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17109,0-2220,2220-4493,4493-6322,6322-8647,8647-10371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17110,0-2351,0-2351,0-2351,2351-6243,2351-6243,2351-6243,6243-8620,6243-8620,8620-9796,9796-14759,9796-14759,9796-14759,14759-17006,14759-17006,17006-18991,18991-21525,18991-21525,21525-22570,22570-24007,24007-25156,25156-26697,26697-28317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17111,0-2247,0-2247,2247-4964,2247-4964,4964-7132,4964-7132,7132-11886,7132-11886,7132-11886,7132-11886,11886-15726,11886-15726,11886-15726,15726-18756,15726-18756,15726-18756,18756-22622,18756-22622,18756-22622,22622-24686,24686-26515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18001,0-9352,0-9352,0-9352,0-9352,9352-10998,10998-13793,10998-13793,13793-15804,15804-17006,17006-20010,17006-20010,20010-23145,20010-23145,20010-23145,23145-24503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18002,0-3448,0-3448,3448-9299,3448-9299,3448-9299,3448-9299,9299-14785,9299-14785,9299-14785,14785-18886,14785-18886,18886-20427,20427-21550,21550-22752,22752-24058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18003,0-2064,2064-3213,3213-4310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18004,0-3579,0-3579,3579-6975,3579-6975,3579-6975,6975-8307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18005,0-3213,0-3213,0-3213,3213-3918,3918-9717,3918-9717,3918-9717,9717-10919,10919-14446,10919-14446,14446-15125,15125-17293,17293-20245,17293-20245,20245-21447,21447-22623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18006,0-2038,2038-5408,2038-5408,5408-6557,6557-8621,8621-11207,8621-11207,8621-11207,11207-14133,11207-14133,14133-15387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18007,0-1489,1489-3135,3135-3866,3866-6034,3866-6034,6034-8646,6034-8646,8646-10736,10736-12199,12199-13505,13505-14759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18008,0-1933,1933-4258,4258-5016,5016-6609,6609-10005,6609-10005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18009,0-601,601-2012,2012-3684,3684-6479,3684-6479,6479-8438,8438-9640,9640-10319,10319-12487,12487-13819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18010,0-627,627-2900,627-2900,2900-4833,2900-4833,4833-6453,6453-8020,8020-9535,9535-11886,9535-11886,11886-15256,11886-15256,15256-16301,16301-17032,17032-18521,18521-19801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18011,0-1724,1724-2847,2847-4963,4963-6661,4963-6661,6661-8072,8072-9456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18012,0-1306,1306-3579,3579-5225,5225-8020,5225-8020,8020-9274,9274-10319,10319-11808,11808-12957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18013,0-1176,1176-2665,2665-4285,4285-8021,4285-8021,8021-10111,10111-11704,11704-13167,13167-14996,14996-17138,17138-18078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18014,0-1724,1724-2847,2847-4545,4545-5120,5120-6322,6322-7968,7968-9561,9561-12852,9561-12852,12852-14628,14628-17031,14628-17031,17031-19826,17031-19826,19826-21210,21210-22307,22307-23483,23483-26226,23483-26226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
